,uniprot1,uniprot2,symbol1,symbol2,methods,pids,ndb,dbs,exp,go1,go2
108,P02549,Q00597,SPTA1,FANCC,affinity chromatography technology,"10551855, 16889989",2,"biogrid, hprd",exp,"GO:0005088, GO:0005200, GO:0006888, GO:0015629, GO:0007015, GO:0005829, GO:0000165, GO:0051015, GO:0014731, GO:0008360, GO:0005509, GO:0005515, GO:0007411, GO:0008091, GO:0051693, GO:0031235","GO:0005737, GO:0097150, GO:0005829, GO:0006281, GO:0005634, GO:0048854, GO:0002262, GO:0005654, GO:0036297, GO:0006289, GO:0007281, GO:0006974, GO:0005515, GO:0019430, GO:0034599, GO:0065003, GO:0043240"
109,O14757,Q15170,CHEK1,TCEAL1,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0018107, GO:2000615, GO:0071260, GO:0070317, GO:0000781, GO:0000785, GO:0035556, GO:0007049, GO:0005737, GO:0010569, GO:0005615, GO:0005813, GO:0005634, GO:0006281, GO:0005654, GO:0004674, GO:0006260, GO:0004672, GO:0045839, GO:0010767, GO:0005524, GO:0072425, GO:0006468, GO:0016301, GO:0048096, GO:0006915, GO:0006974, GO:0006975, GO:0035402, GO:0019904, GO:0000794, GO:1901796, GO:0000077, GO:0045787, GO:0032991, GO:0043231, GO:0035407, GO:0005829, GO:0005515, GO:0046602, GO:0090399","GO:0000122, GO:0003700, GO:0005634, GO:0050699, GO:0005654, GO:0006351"
110,P38398,Q9Y6Q9,BRCA1,NCOA3,"affinity chromatography technology, pull down, unspecified method","14578343, 16860316",2,"biogrid, iid-pred","exp, pred","GO:0006633, GO:1902042, GO:0035066, GO:0035067, GO:1990904, GO:0044030, GO:0050681, GO:0033147, GO:0019899, GO:0008274, GO:0010628, GO:0008270, GO:0045766, GO:0003677, GO:0005634, GO:0042981, GO:0044818, GO:0005737, GO:0005654, GO:0006349, GO:0070063, GO:0006302, GO:0006301, GO:0000724, GO:0071356, GO:0006978, GO:0000729, GO:0003713, GO:0000800, GO:0071158, GO:0070512, GO:0085020, GO:0006260, GO:0031398, GO:0070531, GO:0007098, GO:0043009, GO:0005694, GO:0006303, GO:0042127, GO:0072425, GO:2000378, GO:2000620, GO:0005515, GO:0006281, GO:0006357, GO:0006915, GO:0006974, GO:0045892, GO:0070317, GO:0046600, GO:0005886, GO:0043627, GO:0051571, GO:0051572, GO:0051573, GO:0051574, GO:2000617, GO:0071681, GO:0010212, GO:0044212, GO:0031625, GO:0032991, GO:0008630, GO:0009048, GO:0004842, GO:0016579, GO:0010575, GO:0030521, GO:0015631, GO:0000151, GO:0003684, GO:0016567, GO:0051865, GO:0045944, GO:0006351, GO:0007059, GO:0003723, GO:0031436, GO:0045739, GO:0006359, GO:0045717, GO:0045893","GO:0043697, GO:0050681, GO:0010628, GO:0097718, GO:0003713, GO:0005737, GO:0070062, GO:0030521, GO:0016922, GO:0005634, GO:0004402, GO:0005654, GO:2000035, GO:0016573, GO:0045944, GO:0000981, GO:0035624, GO:0071392, GO:0035257, GO:0030374, GO:0046966, GO:0000790, GO:0045893, GO:2001141, GO:1902459, GO:0000993, GO:0032991, GO:0047485, GO:0005829, GO:0032870, GO:0045618, GO:0006351, GO:0005515, GO:0046982"
111,Q01831,Q01860,XPC,POU5F1,affinity chromatography technology,"21962512, 26687479",2,biogrid,exp,"GO:0006294, GO:0006298, GO:0070914, GO:0071942, GO:0070911, GO:0005737, GO:0031573, GO:0005730, GO:0005634, GO:0005739, GO:0005654, GO:0010996, GO:0003697, GO:0006281, GO:0006289, GO:0006974, GO:0005886, GO:0000111, GO:0010224, GO:0043231, GO:0000404, GO:0000405, GO:0042493, GO:0000715, GO:0005515, GO:0003684, GO:1901990","GO:0003677, GO:0009653, GO:0005737, GO:0043565, GO:0000122, GO:0005634, GO:0001824, GO:0009611, GO:0005739, GO:0005654, GO:0006366, GO:0000976, GO:0042789, GO:0010468, GO:0000981, GO:0060965, GO:0009786, GO:0035019, GO:0001227, GO:0031625, GO:0035198, GO:0001714, GO:0003700, GO:0005829, GO:0006355, GO:0045944, GO:0003723, GO:0005515"
117,P38398,P63244,BRCA1,RACK1,affinity chromatography technology,"22990118, 26831064",2,"biogrid, iid-pred","exp, pred","GO:0006633, GO:1902042, GO:0035066, GO:0035067, GO:1990904, GO:0044030, GO:0050681, GO:0033147, GO:0019899, GO:0008274, GO:0010628, GO:0008270, GO:0045766, GO:0003677, GO:0005634, GO:0042981, GO:0044818, GO:0005737, GO:0005654, GO:0006349, GO:0070063, GO:0006302, GO:0006301, GO:0000724, GO:0071356, GO:0006978, GO:0000729, GO:0003713, GO:0000800, GO:0071158, GO:0070512, GO:0085020, GO:0006260, GO:0031398, GO:0070531, GO:0007098, GO:0043009, GO:0005694, GO:0006303, GO:0042127, GO:0072425, GO:2000378, GO:2000620, GO:0005515, GO:0006281, GO:0006357, GO:0006915, GO:0006974, GO:0045892, GO:0070317, GO:0046600, GO:0005886, GO:0043627, GO:0051571, GO:0051572, GO:0051573, GO:0051574, GO:2000617, GO:0071681, GO:0010212, GO:0044212, GO:0031625, GO:0032991, GO:0008630, GO:0009048, GO:0004842, GO:0016579, GO:0010575, GO:0030521, GO:0015631, GO:0000151, GO:0003684, GO:0016567, GO:0051865, GO:0045944, GO:0006351, GO:0007059, GO:0003723, GO:0031436, GO:0045739, GO:0006359, GO:0045717, GO:0045893","GO:0032436, GO:1990630, GO:0030308, GO:1900102, GO:0005080, GO:0033137, GO:0010803, GO:0030335, GO:0019899, GO:0010629, GO:0051898, GO:0032947, GO:0004871, GO:0030178, GO:0007049, GO:0015935, GO:0005737, GO:0005654, GO:0001891, GO:0050765, GO:0043547, GO:0016567, GO:0008200, GO:0005634, GO:0007369, GO:0030971, GO:0005739, GO:0051302, GO:0043065, GO:0048511, GO:0071333, GO:0032464, GO:0048471, GO:0032880, GO:0043025, GO:0042803, GO:0051343, GO:0042169, GO:0030332, GO:0006919, GO:0061099, GO:0006915, GO:0045296, GO:0019903, GO:0030425, GO:0042998, GO:2001244, GO:1903208, GO:0030292, GO:0022627, GO:0043204, GO:0072344, GO:0043473, GO:0043022, GO:0071363, GO:0008656, GO:0005515, GO:0051726, GO:0070062, GO:0005829, GO:0030496, GO:2000543, GO:0035591, GO:0051901, GO:0003723, GO:0016032, GO:0017148, GO:0005102, GO:2000304, GO:0001934, GO:2000114"
120,O15389,Q15645,SIGLEC5,TRIP13,"two hybrid, two hybrid array, two hybrid pooling approach, two hybrid prey pooling approach, validated two hybrid, yeast 2-hybrid","16189514, 25416956",2,"biogrid, hprd, intact",exp,"GO:0030667, GO:0030246, GO:0016021, GO:0101003, GO:0070821, GO:0043312, GO:0005515, GO:0005886, GO:0007155","GO:0007144, GO:0007131, GO:0007141, GO:0006302, GO:0005634, GO:0003712, GO:0001556, GO:0006366, GO:0048477, GO:0005524, GO:0006281, GO:1903506, GO:0006974, GO:0007283, GO:0007286, GO:0051598, GO:0007130, GO:0001673, GO:0005694, GO:0042802, GO:0005515, GO:0007094"
121,O75771,Q5TEU4,RAD51D,NDUFAF5,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0033063, GO:0000781, GO:0000784, GO:0003677, GO:0000723, GO:0000724, GO:0005813, GO:0005634, GO:0000707, GO:0005654, GO:0005657, GO:0003697, GO:0005524, GO:0005737, GO:0006281, GO:0006289, GO:0006974, GO:0042148, GO:0007131, GO:0008094, GO:0000400, GO:0051726, GO:0036297, GO:0005515, GO:0043015","GO:0032981, GO:0005739, GO:0030961, GO:0005743, GO:0031314, GO:0003674, GO:0005515, GO:0008168, GO:0032259, GO:0055114, GO:0016491"
122,Q5SWW7,Q92889,C10orf55,ERCC4,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,,"GO:0006295, GO:0008022, GO:0006296, GO:0070911, GO:0006293, GO:0003677, GO:1905768, GO:0004520, GO:0000781, GO:0000110, GO:0009411, GO:0000784, GO:0000109, GO:0034644, GO:0009650, GO:1990599, GO:0000723, GO:0001094, GO:0006303, GO:0000724, GO:0005634, GO:0033683, GO:0005654, GO:0051974, GO:0003697, GO:0042802, GO:0006283, GO:0006281, GO:1904357, GO:0006289, GO:0006974, GO:0005669, GO:1905765, GO:0061819, GO:0000014, GO:0047485, GO:1901255, GO:0032205, GO:0036297, GO:0010521, GO:0000712, GO:0005515, GO:0070522, GO:0003684"
129,P18887,Q96A37,XRCC1,RNF166,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0006297, GO:1905765, GO:1903518, GO:0019899, GO:0021766, GO:1904877, GO:0000784, GO:1990599, GO:0001666, GO:0032356, GO:0006303, GO:0033194, GO:0005730, GO:0005634, GO:0006281, GO:0005654, GO:0006284, GO:0006283, GO:0050882, GO:0006288, GO:0010836, GO:0000790, GO:0061819, GO:0010033, GO:0003909, GO:0021587, GO:0000012, GO:0000724, GO:0042493, GO:0006974, GO:0005515, GO:0070522, GO:1990414","GO:0046872, GO:0005515"
130,O76064,Q9BSE2,RNF8,TMEM79,"two hybrid, two hybrid array, two hybrid prey pooling approach, validated two hybrid","21516116, 25416956",2,"biogrid, intact",exp,"GO:0042393, GO:0045190, GO:0000151, GO:0000781, GO:0008270, GO:0070936, GO:0051301, GO:0006303, GO:0033522, GO:0043486, GO:0005634, GO:0005654, GO:0006511, GO:0007049, GO:0070535, GO:0070534, GO:0042802, GO:0042803, GO:0034244, GO:0006281, GO:0006974, GO:0007286, GO:0010212, GO:0004842, GO:0033523, GO:0006302, GO:0031625, GO:0035861, GO:0035093, GO:0030496, GO:0036297, GO:0051865, GO:0005515, GO:0045739, GO:0003682, GO:0005829","GO:0042335, GO:0016021, GO:0070268, GO:0045055, GO:0005765, GO:0032588, GO:0061436, GO:0005515, GO:0002070, GO:0031069, GO:0042802, GO:0045684"
131,Q9BX63,Q9NXC2,BRIP1,GFOD1,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0010629, GO:0051026, GO:0003677, GO:0072520, GO:0005737, GO:0071295, GO:0006302, GO:1990918, GO:0005634, GO:0009636, GO:0010705, GO:0005654, GO:0006260, GO:0071456, GO:0046872, GO:0005524, GO:0008285, GO:0006281, GO:0004003, GO:0032508, GO:0031965, GO:0006289, GO:0006974, GO:0007284, GO:0007286, GO:1904385, GO:0000077, GO:0051539, GO:0006357, GO:0005515, GO:0003682","GO:0005576, GO:0005515, GO:0055114, GO:0016491"
132,P27695,Q8N4N3,APEX1,KLHL36,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0006286, GO:0005783, GO:0014912, GO:0031490, GO:0044877, GO:0004523, GO:0008311, GO:0042981, GO:0004844, GO:0016491, GO:0016607, GO:0008408, GO:0004528, GO:0005730, GO:0140078, GO:0005813, GO:0005634, GO:0003714, GO:0003713, GO:0004520, GO:0005739, GO:0005654, GO:0008309, GO:0006310, GO:0080111, GO:0048471, GO:0003691, GO:0003723, GO:1903508, GO:0000723, GO:0006284, GO:0005667, GO:0006281, GO:0070301, GO:0051059, GO:1903507, GO:0003906, GO:0016890, GO:0045454, GO:0003677, GO:0055114, GO:0071375, GO:0090502, GO:0043488, GO:0097698, GO:0007568, GO:0005840, GO:0046872, GO:0004519, GO:0071320, GO:0008081, GO:0005737, GO:0006974, GO:0006355, GO:0006351, GO:0005515, GO:1900087, GO:0003684, GO:0000784",GO:0016567
135,P54725,Q9UMX0,RAD23A,UBQLN1,"affinity chromatography technology, biochemical, x-ray crystallography","17098253, 26344197",2,"biogrid, iid-pred","exp, pred","GO:0032436, GO:0032434, GO:0031593, GO:0005737, GO:0045787, GO:0000502, GO:0043161, GO:0005634, GO:1990381, GO:0045070, GO:0005815, GO:0005654, GO:0016579, GO:0003697, GO:0016032, GO:0006281, GO:0006289, GO:0006974, GO:0019900, GO:0031648, GO:0070628, GO:0032991, GO:0043231, GO:0005829, GO:0043130, GO:0005515, GO:0003684","GO:0005783, GO:0030433, GO:0016236, GO:0016235, GO:1901340, GO:0031593, GO:0005737, GO:0031410, GO:0005776, GO:0000045, GO:0005654, GO:0097352, GO:0035973, GO:0031398, GO:0071456, GO:0031396, GO:0048471, GO:0042802, GO:1902175, GO:1903071, GO:0019900, GO:0034140, GO:0005886, GO:0000502, GO:0032991, GO:0005829, GO:0005515, GO:0034976"
136,P12004,Q8IWL3,PCNA,HSCB,"anti bait coimmunoprecipitation, two hybrid","24606901, 28380382",2,intact,exp,"GO:1902065, GO:0006297, GO:0006296, GO:0019985, GO:0000083, GO:0019899, GO:1902990, GO:0043596, GO:0042769, GO:0000784, GO:0034644, GO:0000723, GO:0032355, GO:0016604, GO:0042276, GO:0000701, GO:0005813, GO:0005634, GO:0008283, GO:0030971, GO:0033683, GO:0005654, GO:0005657, GO:0032139, GO:0030855, GO:0046686, GO:0031297, GO:0032405, GO:0030337, GO:0030894, GO:0006283, GO:0030331, GO:0006281, GO:0070301, GO:0032077, GO:0035035, GO:0006298, GO:0006974, GO:0006977, GO:0043626, GO:0045740, GO:0070062, GO:0007507, GO:0071548, GO:0097421, GO:0032201, GO:0070987, GO:0016567, GO:0005663, GO:0044849, GO:0042802, GO:0005515, GO:0006272, GO:0070557, GO:0045739, GO:0003682, GO:0003684, GO:0070182","GO:0005737, GO:0051259, GO:0005829, GO:0032781, GO:0005634, GO:0051087, GO:0005739, GO:0016226, GO:0003674, GO:0005515, GO:0046872, GO:0097428, GO:0042802, GO:0001671"
139,O43918,Q9UQE7,AIRE,SMC3,affinity chromatography technology,"20085707, 27365398",2,"biogrid, iid-ortho, iid-pred","exp, ortho, pred","GO:0042393, GO:0032602, GO:0008270, GO:0002458, GO:0005737, GO:0016604, GO:0005634, GO:0097536, GO:0006366, GO:0042802, GO:0045893, GO:0045182, GO:0006955, GO:0006959, GO:0044212, GO:0045060, GO:0002509, GO:0001228, GO:0006355, GO:0045944, GO:0000977, GO:0005515, GO:2000410, GO:0006417, GO:0003682, GO:0000981","GO:0048487, GO:0000785, GO:0000800, GO:0008278, GO:0051301, GO:0000278, GO:0051321, GO:0070840, GO:0005634, GO:0003682, GO:0097431, GO:0005654, GO:0016363, GO:0005694, GO:0005524, GO:0030893, GO:0006281, GO:0006974, GO:0032876, GO:0034991, GO:0051702, GO:0007062, GO:0000775, GO:0019827, GO:0005604, GO:0036033, GO:0005829, GO:1901673, GO:0006275, GO:0005622, GO:0044791, GO:0003777, GO:0005515, GO:0046982"
141,P09874,P11308,PARP1,ERG,"affinity chromatography technology, anti bait coimmunoprecipitation, anti tag coimmunoprecipitation, chromatin immunoprecipitation assay, pull down","21575865, 24591637",2,"biogrid, intact",exp,"GO:0044030, GO:0006294, GO:0006296, GO:0006293, GO:0032042, GO:0006471, GO:0051287, GO:0034644, GO:0019899, GO:2001170, GO:1903827, GO:0000724, GO:0023019, GO:0042769, GO:0000784, GO:0070911, GO:0003677, GO:0032869, GO:0003950, GO:0043504, GO:0000715, GO:0007005, GO:0000723, GO:0016020, GO:0071294, GO:0006302, GO:0000122, GO:0030331, GO:0018312, GO:0005634, GO:0005635, GO:0033683, GO:0005739, GO:0005654, GO:0030225, GO:0045944, GO:0070412, GO:0006366, GO:1904646, GO:1990404, GO:0042826, GO:0010332, GO:0042802, GO:0000977, GO:0006915, GO:0005667, GO:1903518, GO:0006281, GO:0008134, GO:0050790, GO:0033148, GO:0006974, GO:1904357, GO:0036211, GO:0070212, GO:1901216, GO:0032991, GO:0034599, GO:0007179, GO:0010613, GO:1900182, GO:1904044, GO:0032993, GO:0047485, GO:0016540, GO:0005730, GO:0060391, GO:0010990, GO:0019901, GO:0051901, GO:0003723, GO:0005515, GO:0001228, GO:1904762, GO:1990966, GO:1903376, GO:2000679, GO:0008270","GO:0005737, GO:0003682, GO:0006468, GO:0030154, GO:0008283, GO:0005634, GO:0003677, GO:1990904, GO:2000504, GO:0001077, GO:0003197, GO:0006357, GO:0045944, GO:0007165, GO:0005515, GO:0006366, GO:0000978, GO:0016477, GO:0003199, GO:0007275, GO:0000981"
146,P06746,P56937,POLB,HSD17B7,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0006297, GO:0006290, GO:0019899, GO:0003677, GO:0055093, GO:0005876, GO:0005737, GO:0003887, GO:0007435, GO:0005874, GO:0005634, GO:0010332, GO:0005654, GO:0071707, GO:0006261, GO:0048536, GO:0046872, GO:0016579, GO:0006286, GO:0006287, GO:0006284, GO:0006281, GO:0008017, GO:0006288, GO:0003906, GO:0045471, GO:0051402, GO:0006954, GO:0007568, GO:0008630, GO:0006974, GO:0048535, GO:0032991, GO:0048872, GO:0003684, GO:0005515, GO:0016829, GO:0071897, GO:0016446","GO:0006703, GO:0000253, GO:0005783, GO:0016021, GO:0005789, GO:0004303, GO:0006695, GO:0005886, GO:0055114"
149,P12004,Q92793,PCNA,CREBBP,"affinity chromatography technology, anti tag coimmunoprecipitation, enzymatic study, pull down","22954786, 24939902",2,"biogrid, iid-pred, innatedb","exp, pred","GO:1902065, GO:0006297, GO:0006296, GO:0019985, GO:0000083, GO:0019899, GO:1902990, GO:0043596, GO:0042769, GO:0000784, GO:0034644, GO:0000723, GO:0032355, GO:0016604, GO:0042276, GO:0000701, GO:0005813, GO:0005634, GO:0008283, GO:0030971, GO:0033683, GO:0005654, GO:0005657, GO:0032139, GO:0030855, GO:0046686, GO:0031297, GO:0032405, GO:0030337, GO:0030894, GO:0006283, GO:0030331, GO:0006281, GO:0070301, GO:0032077, GO:0035035, GO:0006298, GO:0006974, GO:0006977, GO:0043626, GO:0045740, GO:0070062, GO:0007507, GO:0071548, GO:0097421, GO:0032201, GO:0070987, GO:0016567, GO:0005663, GO:0044849, GO:0042802, GO:0005515, GO:0006272, GO:0070557, GO:0045739, GO:0003682, GO:0003684, GO:0070182","GO:0008589, GO:0003713, GO:0006473, GO:0045747, GO:0042592, GO:0007165, GO:0034212, GO:0034644, GO:0001666, GO:0042981, GO:1904837, GO:0005737, GO:0005654, GO:0001191, GO:0007219, GO:0000123, GO:0000122, GO:0001078, GO:0005634, GO:0004402, GO:0065003, GO:0048511, GO:0006367, GO:0000987, GO:0002223, GO:0016573, GO:0019216, GO:0008134, GO:0018076, GO:0007221, GO:0000790, GO:0016604, GO:0045893, GO:0001102, GO:0031648, GO:0001085, GO:0042733, GO:0061418, GO:0043426, GO:0003700, GO:1900034, GO:0032481, GO:0003684, GO:0006355, GO:0016407, GO:0045944, GO:0005515, GO:0016032, GO:0003682, GO:0002039, GO:0045637, GO:0008270"
150,Q01831,Q9NTX7,XPC,RNF146,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0006294, GO:0006298, GO:0070914, GO:0071942, GO:0070911, GO:0005737, GO:0031573, GO:0005730, GO:0005634, GO:0005739, GO:0005654, GO:0010996, GO:0003697, GO:0006281, GO:0006289, GO:0006974, GO:0005886, GO:0000111, GO:0010224, GO:0043231, GO:0000404, GO:0000405, GO:0042493, GO:0000715, GO:0005515, GO:0003684, GO:1901990","GO:0072572, GO:0090263, GO:0004842, GO:0005829, GO:0016055, GO:0005654, GO:0051865, GO:0008270, GO:0005515, GO:0006511, GO:0005886, GO:0070936, GO:0061630"
151,P46736,Q9H4E7,BRCC3,DEF6,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0061578, GO:0031593, GO:0007049, GO:0005737, GO:0010165, GO:0006303, GO:0006302, GO:0005634, GO:0004843, GO:0070552, GO:0000922, GO:0005654, GO:0051301, GO:0070531, GO:0046872, GO:0016579, GO:0070537, GO:0070536, GO:0072425, GO:0006281, GO:0030234, GO:0050790, GO:0006974, GO:0010212, GO:0036459, GO:0005829, GO:0000151, GO:0000152, GO:0008237, GO:0005515, GO:0045739","GO:0005856, GO:0005654, GO:0005829, GO:0016020, GO:0005737, GO:0030175, GO:0005515, GO:0005886, GO:0048471, GO:0005634"
153,Q13535,Q3KPI0,ATR,CEACAM21,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0018105, GO:0071480, GO:0034644, GO:0000784, GO:0003677, GO:0046777, GO:0016605, GO:0005634, GO:0032212, GO:0007275, GO:0005654, GO:0004674, GO:0006260, GO:0097695, GO:0097694, GO:0004672, GO:0032407, GO:0032405, GO:1904884, GO:0005794, GO:0006281, GO:0016301, GO:0006974, GO:0008156, GO:0043517, GO:0000077, GO:0005694, GO:0090399, GO:0042493, GO:0036297, GO:0070198, GO:0005524, GO:0005515, GO:1900034",GO:0016021
154,P12956,Q92793,XRCC6,CREBBP,"affinity chromatography technology, enzymatic study, pull down, two hybrid","15023334, 9488450",2,"biogrid, iid-pred","exp, pred","GO:0008022, GO:0071480, GO:0071481, GO:1904813, GO:0000783, GO:0044877, GO:0000784, GO:0003677, GO:0000723, GO:0006303, GO:0005730, GO:0075713, GO:0005634, GO:0016020, GO:0071475, GO:0005654, GO:0006266, GO:0005667, GO:0004003, GO:0003690, GO:0003691, GO:0032508, GO:0005524, GO:0006351, GO:0043564, GO:0030332, GO:0048660, GO:0006281, GO:0042162, GO:0045087, GO:0051290, GO:0006974, GO:0032481, GO:0045892, GO:0045893, GO:0034774, GO:0051575, GO:0006310, GO:0044212, GO:0045860, GO:0032991, GO:0007420, GO:0032993, GO:0005829, GO:0043312, GO:0002218, GO:0005576, GO:0045944, GO:0003723, GO:0005515, GO:0070419, GO:0097680, GO:0003684","GO:0008589, GO:0003713, GO:0006473, GO:0045747, GO:0042592, GO:0007165, GO:0034212, GO:0034644, GO:0001666, GO:0042981, GO:1904837, GO:0005737, GO:0005654, GO:0001191, GO:0007219, GO:0000123, GO:0000122, GO:0001078, GO:0005634, GO:0004402, GO:0065003, GO:0048511, GO:0006367, GO:0000987, GO:0002223, GO:0016573, GO:0019216, GO:0008134, GO:0018076, GO:0007221, GO:0000790, GO:0016604, GO:0045893, GO:0001102, GO:0031648, GO:0001085, GO:0042733, GO:0061418, GO:0043426, GO:0003700, GO:1900034, GO:0032481, GO:0003684, GO:0006355, GO:0016407, GO:0045944, GO:0005515, GO:0016032, GO:0003682, GO:0002039, GO:0045637, GO:0008270"
155,Q96CX3,Q9NS91,ZNF501,RAD18,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0044212, GO:0000122, GO:0003700, GO:0005634, GO:0005654, GO:0006357, GO:0045944, GO:0006351, GO:0005515, GO:0003677, GO:0046872, GO:0000981","GO:0009411, GO:0042769, GO:0042405, GO:0031593, GO:0005737, GO:0016604, GO:0006301, GO:0016567, GO:0005813, GO:0005634, GO:0005654, GO:0005657, GO:0043142, GO:0046872, GO:0042802, GO:0006281, GO:0060548, GO:0006974, GO:0051984, GO:0061630, GO:0000403, GO:0031625, GO:0035861, GO:0097505, GO:0006513, GO:0051865, GO:0005515, GO:0044877, GO:0003684"
158,Q96SD1,Q9UGJ0,DCLRE1C,PRKAG2,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0000014, GO:0031848, GO:0008409, GO:0006303, GO:0005794, GO:0004519, GO:0030183, GO:0036297, GO:0006974, GO:0090305, GO:0033151, GO:0000784, GO:0005515, GO:0035312, GO:0010212, GO:0006281, GO:0070419, GO:0005654, GO:0003684, GO:0002250","GO:0006633, GO:0016236, GO:0032147, GO:0010800, GO:0046320, GO:0006469, GO:0046324, GO:0035556, GO:0008603, GO:0071901, GO:0008607, GO:0005615, GO:0005654, GO:0006110, GO:0004679, GO:0005524, GO:0016126, GO:0006468, GO:0031588, GO:0019217, GO:0016208, GO:0007050, GO:0004862, GO:0043531, GO:0042304, GO:0030295, GO:0019901, GO:0005977, GO:0005829, GO:0045860, GO:0006754"
163,Q9BRL7,Q9UHN1,SEC22C,POLG2,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0006888, GO:0005783, GO:0016021, GO:0005789, GO:0005515, GO:0015031","GO:0070584, GO:0032042, GO:0001701, GO:0004820, GO:0006281, GO:0003677, GO:0000262, GO:0005737, GO:0003887, GO:0006974, GO:0006260, GO:0042802, GO:0005515, GO:0022904, GO:0005759, GO:0007005, GO:0042645, GO:0006426, GO:0071897, GO:0006261"
166,Q8NB15,Q92878,ZNF511,RAD50,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0005634, GO:0006357, GO:0006351, GO:0005515, GO:0003677, GO:0046872, GO:0000981","GO:0033674, GO:0031954, GO:0016233, GO:0004017, GO:0090305, GO:0000784, GO:0003677, GO:0007004, GO:0000723, GO:0000722, GO:0008408, GO:0006303, GO:0006302, GO:0000724, GO:0043047, GO:0000729, GO:0016020, GO:0005654, GO:0030870, GO:0006260, GO:0046872, GO:0005524, GO:0005515, GO:0006281, GO:1904354, GO:0004003, GO:0032508, GO:0031860, GO:0006974, GO:0000790, GO:0000794, GO:0007131, GO:0046940, GO:0006310, GO:0000014, GO:0030674, GO:0003691, GO:0051880, GO:0070192, GO:0035861, GO:0032206, GO:0000019, GO:0016032"
167,O94941,P40692,UBOX5,MLH1,"two hybrid, two hybrid pooling approach, yeast 2-hybrid","16189514, 27229929",2,"biogrid, hprd, intact",exp,"GO:0034450, GO:0016604, GO:0005925, GO:0005634, GO:0005654, GO:0031625, GO:0005515, GO:0046872, GO:0000209","GO:0032389, GO:0045190, GO:0006298, GO:0016887, GO:0007060, GO:0048304, GO:0006303, GO:0000289, GO:0005715, GO:0005634, GO:0016020, GO:0007129, GO:0005712, GO:0005654, GO:0043060, GO:0045950, GO:0032137, GO:0048477, GO:0003697, GO:0005524, GO:0048298, GO:0006281, GO:0016321, GO:0006974, GO:0007283, GO:0000795, GO:0045141, GO:0001673, GO:0008630, GO:0000712, GO:0032407, GO:0051257, GO:0032300, GO:0005515, GO:0003682, GO:0016446"
169,Q86WV1,Q9NZ71,SKAP1,RTEL1,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0005070, GO:0005737, GO:0042169, GO:0002757, GO:0005515, GO:0045785, GO:0009967, GO:0005634, GO:0042101, GO:0050852, GO:0017124, GO:0019901, GO:0019903, GO:0044877, GO:0002250, GO:0005911, GO:0005886, GO:0045944, GO:0072659, GO:0005829, GO:0045893","GO:1902990, GO:1904506, GO:0000781, GO:0003677, GO:0043247, GO:0000723, GO:0010569, GO:0070182, GO:0005634, GO:0005654, GO:0004003, GO:1904535, GO:0045910, GO:0031297, GO:0005524, GO:1904358, GO:0006281, GO:1904355, GO:0032508, GO:0006974, GO:0090657, GO:0046872, GO:0051539, GO:0032206, GO:0000732, GO:0005515, GO:1904430"
171,Q14683,Q92995,SMC1A,USP13,"affinity chromatography technology, anti tag coimmunoprecipitation","19615732, 26496610",2,"biogrid, intact",exp,"GO:0009314, GO:0007064, GO:0008278, GO:0051301, GO:0007062, GO:0051321, GO:0072423, GO:0005634, GO:0003682, GO:0097431, GO:0005654, GO:0016363, GO:0005694, GO:0005524, GO:0030893, GO:0006281, GO:0006974, GO:0032876, GO:0000794, GO:0000775, GO:0000776, GO:0000777, GO:0019827, GO:0000070, GO:0036033, GO:0005829, GO:1901673, GO:0003723, GO:0005515, GO:0046982","GO:0044389, GO:0004197, GO:0050821, GO:0008270, GO:0070628, GO:1904294, GO:0051087, GO:0004843, GO:0005654, GO:0043130, GO:0010506, GO:0070536, GO:1904378, GO:0030318, GO:0008283, GO:0006914, GO:0035523, GO:0036459, GO:0031625, GO:0044313, GO:1904288, GO:0016579, GO:0005829, GO:0006355, GO:0006511, GO:0005515, GO:1904454"
